Language Name,ISO 639-3,ISO 639-1,Segments -,(Source),Orthography -,(Source),Pronlex -,(Source),Podcast Transcripts -,(Source),Swadesh Texts  -,(Source),Wikitexts -,(Source),FSTs
Malay,zsm,ms,Malay/Malay_segments.html,http://phoible.org/languages/zsm,Malay/Malay_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Malay_language,,,sbs-pages/20150418/malay.html,http://www.sbs.com.au/yourlanguage/malay/,Malay/Malay_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Malay_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ms/,http://ms.wikipedia.org,models/malay.fst(N/A)
Malayalam,mal,ml,Malayalam/Malayalam_segments.html,http://phoible.org/languages/mal,Malayalam/Malayalam_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Malayalam_language,,,sbs-pages/20150418/malayalam.html,http://www.sbs.com.au/yourlanguage/malayalam?language=ml,Malayalam/Malayalam_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Dravidian_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ml/,http://ml.wikipedia.org,models/malayalam.fst(N/A)
Maltese,mlt,mt,Maltese/Maltese_segments.html,http://phoible.org/languages/mlt,Maltese/Maltese_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Maltese_language,,,sbs-pages/20150418/maltese.html,http://www.sbs.com.au/yourlanguage/maltese/,Maltese/Maltese_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Maltese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/mt/,http://mt.wikipedia.org,models/maltese.fst(N/A)
Mandarin,cmn,zh,Mandarin/Mandarin_segments.html,http://phoible.org/languages/cmn,Mandarin/Mandarin_Pinyin_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Pinyin,,,sbs-pages/20150418/mandarin.html,http://www.sbs.com.au/yourlanguage/mandarin?language=zh-hans,Mandarin/Mandarin_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Mandarin_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/zh/,http://zh.wikipedia.org,models/mandarin.fst(18.1)
Mandinka,mnk,,Mandinka/Mandinka_segments.html,http://phoible.org/inventories/view/1126,Mandinka/Mandinka_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Mandinka_language,,,,,,,,,models/mandinka.fst(N/A)
Maori,mri,mi,Maori/Maori_segments.html,http://phoible.org/inventories/view/42,Maori/Maori_wikipedia_symboltable.html,,,,Maori/text_sbs_20150418.html,http://www.sbs.com.au/yourlanguage/maori/,,https://en.wiktionary.org/wiki/Appendix:Austronesian_Swadesh_lists,,http://mi.wikipedia.org,models/maori.fst(N/A)
Marathi,mar,mr,Marathi/Marathi_segments.html,http://phoible.org/inventories/view/1766,Marathi/Marathi_Balbodh_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Balbodh,,,,,,https://en.wiktionary.org/wiki/Appendix:Indo-Aryan_Swadesh_lists,,http://mr.wikipedia.org,models/marathi.fst(17.1)
Min-Nan;Hokkien,nan,,,http://phoible.org/inventories/view/481,Min-Nan/Min-Nan_Hokkien_symboltable.html,https://repository.ntu.edu.sg/handle/10356/50847,Min-Nan/Min-Nan-Chinese_pronunciations.html,https://en.wikipedia.org/wiki/Hokkien,,,,,,,
Mongolian,mon,mn,Mongolian/Mongolian_segments.html,http://phoible.org/inventories/view/191,Mongolian/Mongolian_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Mongolian_writing_systems,,,,,,,,http://mn.wikipedia.org,models/mongolian.fst(13.5)
Moroccan Arabic,ary,,Moroccan-Arabic/Moroccan-Arabic_segments.html,http://phoible.org/languages/ary,,https://en.wikipedia.org/wiki/Moroccan_Arabic,Moroccan-Arabic/talmoudi84lex.html,,,,Moroccan-Arabic/Moroccan-Arabic_swadesh_list.html,,,,
Ndebele,nde,nd,Ndebele/Ndebele_segments.html,http://phoible.org/inventories/view/1491,Ndebele/Ndebele_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Zimbabwean_Ndebele_language,,,,https://archive.org/details/rosettaproject_nde_vertext-1,,,,,models/ndebele.fst(N/A)
Nepali,nep,ne,Nepali/Nepali_segments.html,http://phoible.org/languages/nep,Nepali/Nepali_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Nepali_language,,,sbs-pages/20150418/nepali.html,http://www.sbs.com.au/yourlanguage/nepali?language=ne,Nepali/Nepali_swadesh_list.html,https://en.wiktionary.org/wiki/Appendix:Indo-Aryan_Swadesh_lists,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ne/,http://ne.wikipedia.org,models/nepali.fst(N/A)
Norwegian,nob,no,Norwegian/Norwegian_segments.html,http://phoible.org/languages/nob,Norwegian/Norwegian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Norwegian_language,,,sbs-pages/20150418/norwegian.html,http://www.sbs.com.au/yourlanguage/norwegian/,Norwegian/Norwegian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Germanic_languages,,http://no.wikipedia.org,models/norwegian.fst(N/A)
Nyanja;Chewa,nya,ny,,,Nyanja/Nyanja_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Chewa_language,,,,,,,,http://ny.wikipedia.org,models/nyanja.fst(N/A)
Oromo,orm,om,Oromo/Oromo_segments.html,http://phoible.org/inventories/view/1362,Oromo/Oromo_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Oromo_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Afro-Asiatic_Swadesh_lists,,http://om.wikipedia.org,models/oromo.fst(N/A)
Ossetian,oss,os,Ossetian/Ossetian_segments.html,http://phoible.org/inventories/view/976,Ossetian/Ossetian_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Ossetian_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Ossetian_Swadesh_list,,http://os.wikipedia.org,models/ossetian.fst(23.5)
Panjabi;Punjabi,pan,pa,Panjabi/Panjabi_segments.html,http://phoible.org/languages/pan,Panjabi/Panjabi_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Punjabi_language,,,sbs-pages/20150418/punjabi.html,http://www.sbs.com.au/yourlanguage/punjabi/,Panjabi/Panjabi_swadesh_list.html,,http://ifp-08.ifp.uiuc.edu/public/wikipedia/pa/,http://pa.wikipedia.org,models/panjabi.fst(N/A)
Papiamento,pap,,,,Papiamento/Papiamento_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Papiamento,,,,,,,,,models/papiamento.fst(N/A)
Persian,pes,fa,Persian/Persian_segments.html,http://phoible.org/languages/pes,Persian/Persian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Persian_language,,,sbs-pages/20150418/persian-farsi.html,http://www.sbs.com.au/yourlanguage/persian-farsi/,Persian/Persian_swadesh_list.html,https://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists,http://ifp-08.ifp.uiuc.edu/public/wikipedia/fa/,http://fa.wikipedia.org,models/persian.fst(14.0)
Polish,pol,pl,Polish/Polish_segments.html,http://phoible.org/languages/pol,Polish/Polish_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Polish_language,,,sbs-pages/20150418/polish.html,http://www.sbs.com.au/yourlanguage/polish/,Polish/Polish_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Polish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/pl/,http://pl.wikipedia.org,models/polish.fst(18.9)
Portuguese,por,pt,Portuguese/Portuguese_segments.html,http://phoible.org/languages/por,Portuguese/Portuguese_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Portuguese_language,,,sbs-pages/20150418/portuguese.html,http://www.sbs.com.au/yourlanguage/portuguese/,Portuguese/Portuguese_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Portuguese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/pt/,http://pt.wikipedia.org,models/portuguese.fst(10.6)
Pushto;Pashto,pst,ps,Pushto/Pushto_segments.html,http://phoible.org/languages/pst,Pushto/Pushto_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Pashto_language,,,sbs-pages/20150418/pashto.html,http://www.sbs.com.au/yourlanguage/pashto/,Pushto/Pushto_swadesh_list.html,https://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ps/,http://ps.wikipedia.org,models/pushto.fst(14.1)
Quechua,que,qu,Quechua/Quechua_segments.html,http://phoible.org/inventories/view/2024,Quechua/Quechua_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Quechuan_languages,,,,,,https://en.wiktionary.org/wiki/Appendix:Quechuan_Swadesh_list,,http://qu.wikipedia.org,models/quechua.fst(N/A)
Rarotongan;Cook Islands Maori,rar,,,,Rarotongan/Rarotongan_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Cook_Islands_Maori,,,Rarotongan/text_sbs_20150418.html,http://www.sbs.com.au/yourlanguage/cookislands-maori/,Rarotongan/Rarotongan_swadesh_list.html,,,,
Rohingya,rhg,,,,Rohingya/Rohingya_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Rohingya_language,,,,,,,,,models/rohingya.fst(N/A)
Romanian,ron,ro,Romanian/Romanian_segments.html,http://phoible.org/languages/ron,Romanian/Romanian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Romanian_language,,,sbs-pages/20150418/romanian.html,http://www.sbs.com.au/yourlanguage/romanian/,Romanian/Romanian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Romanian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ro/,http://ro.wikipedia.org,models/romanian.fst(11.8)
Rundi;Kirundi,run,rn,,http://phoible.org/languages/run,Rundi/Rundi_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Kirundi,,,,,,,,http://rn.wikipedia.org/,models/rundi.fst(N/A)
Russian,rus,ru,Russian/Russian_segments.html,http://phoible.org/languages/rus,Russian/Russian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Russian_language,,,sbs-pages/20150418/russian.html,http://www.sbs.com.au/yourlanguage/russian/,Russian/Russian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Russian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ru/,http://ru.wikipedia.org,models/russian.fst(7.0)
Samoan,smo,sm,Samoan/Samoan_segments.html,,Samoan/Samoan_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Samoan_language,,,sbs-pages/20150418/samoan.html,http://www.sbs.com.au/yourlanguage/samoan?language=sm,,,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sm/,http://sm.wikipedia.org,models/samoan.fst(N/A)
Serbian,srp,sr,Serbian/Serbian_segments.html,,Serbian/Serbian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Serbian_language,,,sbs-pages/20150418/serbian.html,http://www.sbs.com.au/yourlanguage/serbian/,Serbian/Serbian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Serbo-Croatian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sr/,http://sr.wikipedia.org,models/serbian.fst(N/A)
Shona,sna,sn,Shona/Shona_segments.html,http://phoible.org/languages/sna,Shona/Shona_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Shona_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Bantu_Swadesh_lists,,http://sn.wikipedia.org,models/shona.fst(N/A)
Sinhala,sin,si,Sinhala/Sinhala_segments.html,http://phoible.org/languages/sin,Sinhala/Sinhala_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Sinhala_language,,,sbs-pages/20150418/sinhalese.html,http://www.sbs.com.au/yourlanguage/sinhalese?language=si,Sinhala/Sinhala_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Sinhalese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/si/,http://si.wikipedia.org,models/sinhala.fst(N/A)
Slovak,slk,sk,Slovak/Slovak_segments.html,,Slovak/Slovak_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Slovak_language,,,sbs-pages/20150418/slovak.html,http://www.sbs.com.au/yourlanguage/slovak/,Slovak/Slovak_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Slovak_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sk/,http://sk.wikipedia.org,models/slovak.fst(N/A)
Slovenian,slv,sl,Slovenian/Slovenian_segments.html,http://phoible.org/languages/slv,Slovenian/Slovenian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Slovene_language,,,sbs-pages/20150418/slovenian.html,http://www.sbs.com.au/yourlanguage/slovenian/,Slovenian/Slovenian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Slovene_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sl/,http://sl.wikipedia.org,models/slovenian.fst(N/A)
Somali,som,so,Somali/Somali_segments.html,http://phoible.org/languages/som,Somali/Somali_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Somali_language,,,sbs-pages/20150418/somali.html,http://www.sbs.com.au/yourlanguage/somali/,Somali/Somali_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/so/,http://so.wikipedia.org,models/somali.fst(N/A)
Sotho,sot,st,,,Sotho/Sotho_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Sotho_orthography,,,,,,,,http://st.wikipedia.org,models/sotho.fst(N/A)
Spanish,spa,es,Spanish/Spanish_segments.html,http://phoible.org/languages/spa,Spanish/Spanish_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Spanish_language,,,sbs-pages/20150418/spanish.html,http://www.sbs.com.au/yourlanguage/spanish/,Spanish/Spanish_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Spanish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/es/,http://es.wikipedia.org,models/spanish.fst(10.4)
Sundanese,sun,su,Sundanese/Sundanese_segments.html,http://phoible.org/inventories/view/35,Sundanese/Sundanese_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Sundanese_alphabet,,,,,,,,http://su.wikipedia.org,models/sundanese.fst(N/A)
Swahili,swh,sw,Swahili/Swahili_segments.html,http://phoible.org/languages/swh,Swahili/Swahili_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Swahili_language,,,sbs-pages/20150418/swahili.html,http://www.sbs.com.au/yourlanguage/swahili/,Swahili/Swahili_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swahili_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sw/,http://sw.wikipedia.org,models/swahili.fst(12.7)
Swedish,swe,sv,Swedish/Swedish_segments.html,http://phoible.org/languages/swe,Swedish/Swedish_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Swedish_language,,,sbs-pages/20150418/swedish.html,http://www.sbs.com.au/yourlanguage/swedish/,Swedish/Swedish_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swedish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sv/,http://sv.wikipedia.org,models/swedish.fst(N/A)
Tagalog,tgl,tl,Tagalog/Tagalog_segments.html,http://phoible.org/languages/tgl,Tagalog/Tagalog_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Tagalog_language,,,sbs-pages/20150418/fijian.html,http://www.sbs.com.au/yourlanguage/fijian/,,http://en.wiktionary.org/wiki/Appendix:Tagalog_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/fj/,http://tl.wikipedia.org,models/tagalog.fst(13.0)
Tajik,tgk,tg,,,Tajik/Tajik_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Tajik_alphabet,,,,,,https://en.wiktionary.org/wiki/Appendix:Tajik_Swadesh_list,,http://tg.wikipedia.org,models/tajik.fst(14.7)
Tamil,tam,ta,Tamil/Tamil_segments.html,http://phoible.org/languages/tam,Tamil/Tamil_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Tamil_language,,,sbs-pages/20150418/tamil.html,http://www.sbs.com.au/yourlanguage/tamil?language=ta,Tamil/Tamil_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Dravidian_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ta/,http://ta.wikipedia.org,models/tamil.fst(9.4)
Tatar,tat,tt,,,Tatar/Tatar_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Tatar_alphabet,,,,,Tatar/Tatar_swadesh_list.html,https://en.wikipedia.org/wiki/Turkic_languages,,http://tt.wikipedia.org,models/tatar.fst(15.1)
Telugu,tel,te,Telugu/Telugu_segments.html,http://phoible.org/inventories/view/8,Telugu/Telugu_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Telugu_script,,,,,,,,http://te.wikipedia.org,models/telugu.fst(N/A)
Thai,tha,th,Thai/Thai_segments.html,http://phoible.org/languages/tha,Thai/Thai_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Thai_language,,,sbs-pages/20150418/thai.html,http://www.sbs.com.au/yourlanguage/thai/,Thai/Thai_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Thai_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/th/,http://th.wikipedia.org,models/thai.fst(N/A)
Tibetan,bod,bo,Tibetan/Tibetan_segments.html,http://phoible.org/inventories/view/1067,Tibetan/Tibetan_wikipedia_symboltable.html,,,,,,,,,,models/tibetan.fst(N/A)
Tigrinya,tir,ti,Tigrinya/Tigrinya_segments.html,http://phoible.org/languages/tir,Tigrinya/Tigrinya_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Tigrinya_language,,,sbs-pages/20150418/tigrinya.html,http://www.sbs.com.au/yourlanguage/tigrinya/,Tigrinya/Tigrinya_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ti/,http://ti.wikipedia.org,models/tigrinya.fst(N/A)
Tok Pisin,tpi,,,http://phoible.org/languages/tpi,Tok-Pisin/Tok-Pisin_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Tok_Pisin,,,,,,,,,models/tok-pisin.fst(18.4)
Tonga,ton,to,Tonga/Tonga_segments.html,http://phoible.org/languages/ton,Tonga/Tonga_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Tongan_language,,,sbs-pages/20150418/tongan.html,http://www.sbs.com.au/yourlanguage/tongan/,,,http://ifp-08.ifp.uiuc.edu/public/wikipedia/to/,http://to.wikipedia.org,models/tonga.fst(N/A)
Turkish,tur,tr,Turkish/Turkish_segments.html,http://phoible.org/languages/tur,Turkish/Turkish_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Turkish_language,,,sbs-pages/20150418/turkish.html,http://www.sbs.com.au/yourlanguage/turkish/,Turkish/Turkish_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Turkish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/tr/,http://tr.wikipedia.org,models/turkish.fst(9.3)
Turkmen,tuk,,Turkmen/Turkmen_segments.html,,Turkmen/Turkmen_Cyrillic_wikipedia_symboltable.html;Turkmen/Turkmen_Turkish_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Turkmen_language,,,,,Turkmen/Turkmen_swadesh_list.html,https://en.wikipedia.org/wiki/Turkic_languages,,,models/turkmen.fst(14.9)
Uighur;Uyghur,uig,,Uighur/Uighur_segments.html,,Uighur/Uighur_Arabic_wikipedia_symboltable.html;Uighur/Uighur_Cyrillic_wikipedia_symboltable.html;Uighur/Uighur_Latin_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Uyghur_language,,,,,Uighur/Uighur_swadesh_list.html,https://en.wikipedia.org/wiki/Turkic_languages,,,models/uighur.fst(15.4)
Ukrainian,ukr,uk,Ukrainian/Ukrainian_segments.html,http://phoible.org/languages/ukr,Ukrainian/Ukrainian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Ukrainian_language,,,sbs-pages/20150418/ukrainian.html,http://www.sbs.com.au/yourlanguage/ukrainian/,Ukrainian/Ukrainian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Ukrainian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/uk/,http://uk.wikipedia.org,models/ukrainian.fst(N/A)
Urdu,urd,ur,Urdu/Urdu_segments.html,http://phoible.org/languages/urd,Urdu/Urdu_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Urdu_language,,,sbs-pages/20150418/urdu.html,http://www.sbs.com.au/yourlanguage/urdu?language=ur,Urdu/Urdu_swadesh_list.html,,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ur/,http://ur.wikipedia.org,models/urdu.fst(N/A)
Uzbek,uzb,,Uzbek/Uzbek_segments.html,,Uzbek/Uzbek_Cyrillic_wikipedia_symboltable.html;Uzbek/Uzbek_Latin_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Uzbek_language,,,,,Uzbek/Uzbek_swadesh_list.html,https://en.wikipedia.org/wiki/Turkic_languages,,,models/uzbek.fst(14.7)
Vietnamese,vie,vi,Vietnamese/Vietnamese_segments.html,http://phoible.org/languages/vie,Vietnamese/Vietnamese_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Vietnamese_language,,,sbs-pages/20150418/vietnamese.html,http://www.sbs.com.au/yourlanguage/vietnamese?language=vi,Vietnamese/Vietnamese_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Vietnamese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/vi/,http://vi.wikipedia.org,models/vietnamese.fst(38.0)
Wolof,wol,wo,Wolof/Wolof_segments.html,http://phoible.org/languages/wol,Wolof/Wolof_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Wolof_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Niger-Congo_Swadesh_lists,,http://wo.wikipedia.org,models/wolof.fst(N/A)
Wu,wuu,,Wu/Wu_segments.html,http://phoible.org/inventories/view/17,,,Wu/Wu_Chinese_pronunciations.html,https://en.wikipedia.org/wiki/Wu_Chinese,,,,,,,
Xhosa,xho,xh,Xhosa/Xhosa_segments.html,http://phoible.org/inventories/view/1319,Xhosa/Xhosa_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Xhosa_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Bantu_Swadesh_lists,,http://xh.wikipedia.org,models/xhosa.fst(N/A)
Yoruba,yor,,Yoruba/Yoruba_segments.html,http://phoible.org/languages/yor,Yoruba/Yoruba_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Yoruba_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Niger-Congo_Swadesh_lists,,http://yo.wikipedia.org,models/yoruba.fst(14.7)
Yue;Cantonese,yue,,Yue/Yue_segments.html,http://phoible.org/languages/yue,Yue/Yue_Jyutping_wikipedia_symboltable.html;Yue/Yue_YaleCantonese_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Yue_Chinese,,,sbs-pages/20150418/cantonese.html,http://www.sbs.com.au/yourlanguage/cantonese?language=zh-hant,Yue/Yue_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Cantonese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/zh-yue/,http://zh-yue.wikipedia.org,models/yue.fst(17.7)
Zulu,zul,zu,Zulu/Zulu_segments.html,http://phoible.org/languages/zul,Zulu/Zulu_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Zulu_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Zulu_Swadesh_list,,http://zu.wikipedia.org,models/zulu.fst(9.7)
