IPA	FID	Combined class:	Segment class:	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill
ɳ	_config/ɳ	c	consonant	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-
ɳ̤	_config/ɳ̤	c	consonant	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	+	-	-	-	-	-

