IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
ç̟	3E15E4709C8D94D0EEC18D2D6CA7F316	c-d	consonant		-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
kǃ̠ʰ	3E1E803EE09E2F9835D66115B5DEB9DF	c-c-d-c	consonant		-	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
ɤ̞̟̃	3E24E21847A953302BDA855FE66BAE1F	v-d-d-c	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
ˀl	3E8251232BB9055E80C7F70E3309E306	c-c	consonant		+	+		-	+	+	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
oe̞	3E8706977F0C1AA30EDA45C018CA2E42	v-v-d	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ḛ̃	3E9A3F03523F0611C7B21DC671B0569A	v-d-c	vowel	-		+	-		-	+	+	-			+	-		+	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
ɸ̃	3E9F5F054A2164126471CCF118EA295A	c-c	consonant			-		-	+	-	+	-	+		-	-	-			+	-	-	-		-	+	-	-		-	-	-	-	-		-	-			-
ŋʷ	3ED3C12693EEA6DCD866F8DBD9C6CF1D	c-d	consonant			-	-	-	+	-	-	-			+	-	-	-	+	+		-	-	-	-	+	+	-		+	-	+	-	-		-	-			-
r̠	3EDAF6216EB1BA30820F52754A2515EA	c-d	consonant		-	+		-	+	-	+	+		+	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
↓˦↓˦	3F0BA824C7276C5E286ECB25EC1D01E6	t-t-t-t	tone																																				+	
t̠ʃʼː	3F187EC2BD0D795B647E6CF67DD10761	c-d-c-c-d	consonant		-	-		-	+	+	-	+	+	+	-	-	-			-		-	+		-	-	-	+			-	-	-	-	+	-	-			-
qˀ	3F1D6508D5FE3D60836E3C69E9A1ED77	c-c	consonant			-	+	-	+	+	-	-	-		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
fʰ	3F21FE9E4E9AC7D94AD3A965A848435E	c-c	consonant			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	+	-		-	-			-
kǃǃʼ	3F4FBAADFD46AE1A612DCADAE67A82E1	c-c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
wʱ	3F5BBFDABDC260DF618B06CCA330D500	c-d	consonant			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	+	-		-	-	+		-
bʷˠ	3F60DE579FCE9A291BE68403405B313A	c-d-d	consonant			-	+	-	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	-	-	-		-	-			-
kǃǃxʼ	3F946ADA05EF100CB099344D8E2D2877	c-c-c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
ʕʷ	3FBDA0A2A095420D052B100918A489EC	c-d	consonant			-	+	-	+	-	+	-	+		+	-	-	-	-	+		-	-	+	-	-	+	-		+	-	-	-	-		-	-			-
ʎʼ	3FE9AD8D1BBA62FB1D26AC7F93D883C7	c-c	consonant		-	+	-	-	+	+	+	+		+	+	-	-	+	+	-		+	-	-	-	-	+	+			-	+	-	-	-	-	-			-
ð͉	40205117E5EC6C97B27D604E51B7AC07	c-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
ɲcɕ	4027E2F240D9BC77F1D3EA70303F422F	c-c-c	consonant		-,+	-	-	-	+	-	-,+	+	-,+	+	+	-	-	+	+	-		-	-	-	-	+,-,-	+,-,-	-			-	+,-,-	-	-	-,+	-	-			-
nθ	4061B7BA1015C28DFE16C384688DAD7E	c-c	consonant		+	-		-	+	-	-,+	+	+	-,+	-	-	-			-		-	-		-	+,-	+,-	-			-	+,-	-	-	-	-	-			-
ø̠	406FE87B61945EA01921EF078FCBB3BB	v-d	vowel	-	-	+	-		-	-	+	-		+	+	-		+	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
n̪t̪s̪ʰ	409E4DBFC07C665D68AE57515EBDB12A	c-d-c-d-c-d-c	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	+,-	-	-			-	+,-	+	-	+	-	-			-
b̰	40A21059E3A4B95A15E310EA11A4F874	c-d	consonant			-		-	+	+	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
eɪ	40B5899C65367F8AB11A7C5186D6F642	v-v	vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-		-
ʁː	40BA21CC84DA5CE0661F60BCCF793818	c-d	consonant			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	+	-	-	-	+	-			-	-	-	-		-	-			-
ˀnǃ	40EBC724C9F7ED8AC1BB0439C68A7C94	c-c-c	consonant																																					
ɟ̩̰	40F997E2E9EC287A0D62285E5CB8FD50	c-d-d	consonant		-	-	-	-	+	+	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	-	+	-			-
k̰	4121D651D50EEB87A9945DF90AE757F0	c-d	consonant			-	-	-	+	+	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
d̻z̻	414D673146D17C45361E43106C4235B9	c-d-c-d	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
sˤː	4157F7923F47DFE3C4EEDAE3DBD28F37	c-c-d	consonant	-	+	-		-	+	-	+	+	+	-	-	-	-			-		-	+		-	-	-	-	+		-	-	-	-	+	-	-			-
tr	416C1368136E902D5539703768500520	c-c	consonant		+	-,+		-	+	-	-,+	+	-	-	-	-	-			-		-	-		-	-	-,+	-			-	-,+	-	-	-	-	-			-,+
ʈʂ͇	4192E64FD8E8038E20A5BDFF73F8D646	c-c-d	consonant		-	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
n̥ˠ	41B081C5ADC0181CE37739B72400B8CF	c-d-d	consonant		+	-	+	-	+	-	-	+		-	+	-	-	-	+	-		-	-	-	-	+	-	-			-	+	+	-	-	-	-			-
pˀ	41D8827BB943E1FB9055A7487293BA79	c-c	consonant			-		-	+	+	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
ɡǁ	42087FB8F05E0D496C88BD1DAF1DFAFB	c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
m̰	422FA00F23E4CDA245CD042186636980	c-d	consonant			-		-	+	+	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
ɡʲ	4257BA86C575A28CFD1C21C69CDCFB5B	c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ɺ̠	42BD0A6D95AE24AA01EB0F5A28023737	c-d	consonant		-	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	+			-
ɲʰ	42C8E0769DC48A5BACC8BBCCB562D69F	c-c	consonant		-	-	-	-	+	-	-	+		+	+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	+	-	-	-	-			-
ɪa	42DCFF84A6EFD62DB9A468FEC529E4DF	v-v	vowel	-		+	-		-	-	+	-			+	-		+,-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	-	-		+	-	-		-
t̪ˀ	42E4D48947230480B505C614BA9C96E6	c-d-c	consonant		+	-		-	+	+	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
ioː	42E668DD06F7A3F8C331B4AA6CA1CACE	v-v-d	vowel	-		+	-,+		-	-	+	-			+	-		+,-	+,-	-,+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
kxː	42F678F63AB61299DEFC236FB532772F	c-c-d	consonant			-	-	-	+	-	-	-	+		+	-	-	-	+	-		-	+	-	-	-	-	-			-	-	-	-		-	-			-
ɵ̤ː	4302AE5A7D703D1E726E3BD6992CC83F	v-d-d	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	+	-		+	-	+		-
ʄ	434450844FAF9386CA9AD2E0E919570E	c	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	+	-	+	-			-	-	-	-	-	-	-			-
iou	43562F64958BE87998D566A36EA1B846	v-v-v	vowel	-		+	-,+,+		-	-	+	-			+	-		+,-,-	+,-,+	-,+,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ʈʰ	4364823B8F03525E91440277AEC22689	c-c	consonant		-	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	+	-	-	-	-			-
f͈ː	43A9CD402E6793D870DDA4E1B6DF9AF1	c-d-d	consonant			-		-	+	-	+	-	+		-	-	+			+	+	-	+		-	-	-	-		-	-	-	-	-		-	-			-
jʷ	443395FF76774409E290ED0D776E0EA3	c-d	consonant			+	-	-	-	-	+	-			+	-	-	+	+	+		-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
qǂ	444E583FB47D102626F6430F8464B7B3	c-c	consonant		-	-	+	+	+	-	-	+	-	+	+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
ɖ̰	44685CCB2453899D9D770CC3210C9F1E	c-d	consonant		-	-		-	+	+	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
ae̞	446EC50F4DE4491624BF56ECAA33A4AA	v-v-d	vowel	-		+	-		-	-	+	-			+	-		-,+	-	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+		-
ˀw̥	44AB1EBF84968729FE57080ACAFD4BE8	c-c-d	consonant			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	-	-		+	-	+	+	-		-	-	+		-
*R̪̰	452CFAB1A2427A1A217BD304BEF54FE7	c-c-d-d	consonant		+	+		-	+	+	+	+		+	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-				
mɦ	4533B95DBED70DE1304677C2303C6FC5	c-c	consonant			-		-	+,-	-	-,+	-	+		-	-	-			+,-	-	-	-		-	+,-	+	-		-	-	+,-	-,+	-		-	-			-
tɦ	45635C15F6E6D6B8F99C6FF1320D74CB	c-c	consonant		+	-		-	+,-	-	-,+	+,-	-,+	-	-	-	-			-		-	-		-	-	-,+	-			-	-	-,+	-	-	-	-			-
ʃʼ	4563A9B9ABA1D0DBF14EDE55D11BE085	c-c	consonant		-	-		-	+	+	+	+	+	+	-	-	-			-		-	-		-	-	-	+			-	-	-	-	+	-	-			-
kǁʼ	457ACCCAC10A8E2FCD225B6653ABBA4C	c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
õː	457E4E01C741D892326B84B8A7D1452E	v-c-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
ɔ̃ˤː	45A6211DBFA612D74AB9BE06405B55F4	v-c-c-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	+	+	-	+	+	-	+	-	-		+	-	-		-
ɗʲ	45B4AA3EE708249C35D25DB32C4E5278	c-d	consonant		+	-	+	-	+	-	-	+	-	-	+	-	-	+	+	-		-	-	-	+	-	+	-			-	-	-	-	-	-	-			-
ɪʌ	45B6487539499C755E1189EC1B93F5A3	v-v	vowel	-		+	-,+		-	-	+	-			+	-		+,-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
kǂ͓ˡ	45D75357C15A8C57E1B8262286915C14	c-c-d-d	consonant		-	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-,+	-	-	-	-	-	-			-	-	-	-	-	-	-			-
z̃	460D56231E2BC77417501D26C805431F	c-c	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	+	+	-			-	-	-	-	+	-	-			-
zˀ	460D56231E2BC77417501D26C805431F	c-c	consonant		+	-		-	+	+	+	+	+	-	-	-	-			-		-	-		-	+	+	-			-	-	-	-	+	-	-			-
wˤ	46214F9E9D32E2604F4593E4CD142CB9	c-c	consonant	-		+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-		-	-	+		-
eĩ	464A3F1E5E973D42FD2F0CBE179A6CD1	v-v-c	vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
ʰɾ̪	464B99A9657AF91066BFAE4FB6DD5C8A	c-c-d	consonant		+	+		-	+	-	+	+		+	-	-	-			-		-	-		-	-	+	-			-	+	+	-	-	-	+			-
t̠ʃʷʰ	465EE3F0BEA81EE218D543948184526C	c-d-c-d-c	consonant		-	-		-	+	-	-	+	+	+	-	-	-			+		-	-		-	-	-	-		+	-	-	+	-	+	-	-			-
ʑᶣ	46706D0F8EE1986FBD4F8AA2BFB9C4D9	c-d	consonant		+	-	+	-	+	-	+	+	+	+	+	-	-	+	+	+		-	-	-	-	-	+	-		+	-	-	-	-	+	-	-			-
d̪z̪̤	46C2ADA07A1EFBBDB59FC67A0E4160C6	c-d-c-d-d	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	+	-	+	-	-			-
ʃ͈ː	46D99EB2B0A87A469937AE08F993997D	c-d-d	consonant		-	-		-	+	-	+	+	+	+	-	-	+			-		-	+		-	-	-	-			-	-	-	-	+	-	-			-
nh	46E28F86CE7D73652A5F233B4ECAE3FD	c-c	consonant		+	-		-	+,-	-	-,+	+,-	+	-	-	-	-			-		-	-		-	+,-	+,-	-			-	+,-	-,+	-	-	-	-			-
ɜɪ̯	46F1B9EA5E3CADA533E07DD4C5CCE816	v-v-d	vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		-	-	-		-
b̤ː	47160C83A64BF02E43D95412B7E4E496	c-d-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	+	-		-	-	-	+	-		-	-			-
ɲʷ	471E09F92E1FBA644B9AAC2EA4951167	c-d	consonant		-	-	-	-	+	-	-	+		+	+	-	-	+	+	+		-	-	-	-	+	+	-		+	-	+	-	-	-	-	-			-
ðˤ	47291C67010B4DBEAA93DB31BA0ABD0B	c-c	consonant	-	+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-	+		-	-	-	-	-	-	-			-
k̃ʷ	474A4992FCA5D41DD15AAA01F56502B8	c-c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	+	-	-		+	-	-	-	-		-	-			-
wa	478FD0A20649DB233C18C0591947BBA0	c-v	consonant	-		+	+,-	-	-	-	+	-			+	-	-	-	+,-	+,-	-	-	-	-,+	-	-	+	-	-	+	-	+	-	-		-,+	-	+		-
lʼ	47A7ED6DF470CC92E651D5E29C810163	c-c	consonant		+	+		-	+	+	+	+		-	-	-	-			-		+	-		-	-	+	+			-	+	-	-	-	-	-			-
kˤ	47DB47E11893711783759B4BD213B356	c-c	consonant	-		-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-	+		-	-	-	-		-	-			-
i̤ə̤	47DFAD0340A202BF00595B998657DD6D	v-d-v-d	vowel	-		+	-		-	-	+	-			+	-		+,-	+,-	-		-	-	-	-	-	+	-	-		-	+	+	-		+	-	+,-		-
k͈	47EFCD8477F22831BBE168B378265EE9	c-d	consonant			-	-	-	+	-	-	-	-		+	-	+	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
ɯ̃ə	48A6448069FC8B4A7F0BD97CAE074857	v-c-v	vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+,-		-
ɪ̝	48ADDCE6F71DF60F6A66F222544B816A	v-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
s͉	48C45C161462DFAC99F6848CE3C85C92	c-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
rˤː	496527BD63FE0E006BFD4301EDF8401F	c-c-d	consonant	-	+	+		-	+	-	+	+		-	-	-	-			-		-	+		-	-	+	-	+		-	+	-	-	-	-	-			+
ɡǀxʼ	498BDF29B9EDCC2D100943F0A2C2AD2B	c-c-c-c	consonant		+	-	-	+	+	+	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	+	+			-	-	-	-	-	-	-			-
p͈ː	49992EC2750127732C1203C607E9F642	c-d-d	consonant			-		-	+	-	-	-	-		-	-	+			+	-	-	+		-	-	-	-		-	-	-	-	-		-	-			-
χʷˤ	499C94207F498FA69AA8F4A0E8D458D4	c-d-c	consonant	-		-	+	-	+	-	+	-	+		+	-	-	-	-	+		-	-	-	-	-	-	-	+	+	-	-	-	-		-	-			-
aɪ	49FD5CEF44ED98F131FF370446B7412E	v-v	vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɞ	4A0C490929CA2C526E3D2DCEB5D9E763	v	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
n̠̥	4A2D14DC136574330AB232E095AD6A32	c-d-d	consonant		-	-		-	+	-	-	+		+	-	-	-			-		-	-		-	+	-	-			-	+	+	-	-	-	-			-
ŋmʲ	4A3785E5D464077026C0D00310AE3515	c-c-d	consonant			-	+	-	+	-	-	-			+	-	-	+	+	-,+	-	-	-	-	-	+	+	-		-	-	+	-	-		-	-			-
ɯ̤a	4A3FFB764852ABC66C065B8066EF78F2	v-d-v	vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	+	-		+	-	+		-
ɠ̥ʲ	4A466609C04921366F184D6F40D259FA	c-d-d	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	+	-	-	-			-	-	+	-		-	-			-
ⱱ̟	4A527900AC37A5AB96EC78D0B2B8BA83	c-d	consonant			+	-	-	+	-	+	-			-	-	-	+		+	+	-	-		-	-	+	-		-	-	+	-	-		-	+			-
ˀnǀ	4A68F7A97249EC7382F39A21355F521B	c-c-c	consonant																																					
uə	4AC20DDBE7F50AB0A361E2FE58A1C3B4	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-		-
d͈	4AC4A83643516025A955EEBAAE9580B1	c-d	consonant		+	-		-	+	-	-	+	-	-	-	-	+			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
q	4AC7382217172B3821AE54CD38BD8698	c	consonant			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
t̠ʃ͉	4B4D77DA698979B13BD0C003A7D004B0	c-d-c-d	consonant		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ɸʷˠ	4B70025F321D5EA0B946BCC174BCAAC3	c-d-d	consonant			-	+	-	+	-	+	-	+		+	-	-	-	+	+	-	-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
ao	4B7855340AF892F354DCD3EB6DBC99D3	v-v	vowel	-		+	-,+		-	-	+	-			+	-		-	-	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ŋ̥ǂ͓ˡˀ	4C1C430311DF08B3E2709BA226B52764	c-d-c-d-d-c	consonant		-	-	-	+	+	+	-	+	+	+	+	-	-	-	+	-		-,+	-	-	-	+	-	-			-	-	-	-	-	-	-			-
ɛ̝ː	4C3CD513B2C045DE67B665EBA104825A	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	-		-
kʷː	4C775776537E3DBA122A12CC062CD6EC	c-d-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	+	-	-	-	-	-		+	-	-	-	-		-	-			-
w̞	4C8373089A9361065A5CC795B0BAB29C	c-d	consonant			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
e̤ˑ	4CAB1B4C284B693ED283B81B90349235	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		+	+	+	-		+	-	+		-
ʈɹ̠̥	4CC34E0B5E81AA0B9365215C4FE042DC	c-c-d-d	consonant		-	-,+		-	+,-	-	-,+	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-,+	+	-	-	-	-			-
ɛ̝	4D559B61A7218ADFC16922BAF04B149E	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɣː	4D635B40A4819A4A50ADF8E7766C3693	c-d	consonant			-	-	-	+	-	+	-	+		+	-	-	-	+	-		-	+	-	-	-	+	-			-	-	-	-		-	-			-
ɸ̞	4D7135FB8F6803E1A359D463DBC4819E	c-d	consonant			-		-	+	-	+	-	+		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
qʷˀ	4D71E156E043B408A4C57C3E76CD5AEA	c-d-c	consonant			-	+	-	+	+	-	-	-		+	-	-	-	-	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
wː	4DB108BB5E5FA3A40FED7AD2E0D076C1	c-d	consonant			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	+	-	-	-	+	-		+	-	+	-	-		-	-	+		-
˧˨ˤ	4DB5F95E762595DA42CA893FFDF80648	t-t-c	tone	-																									+										+	
hʷ	4E454EFC24409956D610FB858C201318	c-d	consonant			-		-	-	-	+	-	+		-	-	-			+		-	-		-	-	-	-		+	-	-	+	-		-	-			-
t͈s	4E46C273A792BEDB9FA8AECFF337E31C	c-d-c	consonant		+	-		-	+	-	-	+	+	-	-	-	+			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ɕʼ	4E53134342A104A4FAC72AB8CB06E2AB	c-c	consonant		+	-	-	-	+	+	+	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	+			-	-	-	-	+	-	-			-
ŏ̃	4E93BC094F4E6BC4B1C3E501DC8E93AA	v-d-c	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	+	+	-	-	+	+	+	-	-		+	-	+		-
t̻ː	4EAC9838CC998796541B175E07D177B8	c-d-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	+		-	-	-	-			-	-	-	-	-	-	-			-
tʰ	4EEF82037BC182F6353941401E583F45	c-c	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	+	-	-	-	-			-
æe̯	4F46B02D231EBA6179A87959D8D0E642	v-v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+,-	-	-	+	-	-		-	+	-	-		-	-	+		-
ãˤː	4FE992BF3C149733F3241760138DA178	v-c-c-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	+	+	-	+	+	-	+		-	+	-	-		+	-			-
rʲ	4FEA9B23C77E9EA34A6963E4D4FF64BA	c-d	consonant		+	+	+	-	+	-	+	+		-	+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-	-	-	-			+
uai	5004EE6CA44A4954BF0272E5961EEF40	v-v-v	vowel	-		+	+,-,-		-	-	+	-			+	-		-,+	+,-,+	+,-,-	-	-	-	-,+,-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
w	501394D0E2658752D9DA624E7DEBE14B	c	consonant			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
ɡbr	503029FE92C83939A50207D5A917772A	c-c-c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
d̪̰	5047DC31E30B34ABE68E7DDE7B7A3752	c-d-d	consonant		+	-		-	+	+	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
ɔ̰ˑ	50F182D77534E74C7DBF083D69E5CF92	v-d-d	vowel	-		+	+		-	+	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-		+	-	-		-
ʉ̆	5100D4612D7E7B47132290E3D22301A1	v-d	vowel	-		+	-		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	+	+	-	-		+	-	+		-
˨˩	5103335E25642C62B8F81C86FEDA4BE1	t-t	tone																																				+	
ao̞	510D4DC6C550C18C24724535CF6E8918	v-v-d	vowel	-		+	-,+		-	-	+	-			+	-		-	-	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ə̤	511AABA8728F07B593CC6BC75E15431D	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	+	-		+	-	-		-
ɪi	512774BA9EBBDB631D2F22B8266E7CB5	v-v	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-,+		-
ŋ̥ǀ͓ˀ	512D5A2B6D3C962202938C25897F06B1	c-d-c-d-c	consonant		+	-	-	+	+	+	-	+	+	+	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	-	-	-	-	-			-
ɭ	512D7E3344FCD21B1EE47971D72DB39A	c	consonant		-	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
ẽː	516350E7AE95E5CC180DBA424343695D	v-c-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	+	+	-	-		-	+	-	-		+	-	+		-
u̞ː	5173D72478D244987A0CA188DB8B88A4	v-d-d	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
d̠ʒ̤ː	5177894DB9F9A497F7E309B922F0C6F1	c-d-c-d-d	consonant		-	-		-	+	-	-	+	+	+	-	-	-			-		-	+		-	-	+	-			-	-	+	-	+	-	-			-
t̪ː	51CBFDAE8C04E0CE821EA819E23EEE42	c-d-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	+		-	-	-	-			-	-	-	-	-	-	-			-
β̞	51CC41E04001D781FFFB40FBAF6946C2	c-d	consonant			-		-	+	-	+	-	+		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
