IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
ntʼ	04249E545B8016C089D14558FEC1E792	c-c-c	consonant		+	-		-	+	+	-	+	-	-	-	-	-			-		-	-		-	+,-	+,-	+			-	+,-	-	-	-	-	-			-
˨˦˨	04252EDC4E2F2DDD1E703D93D1FC8907	t-t-t	tone																																				+	
kǁʰ	044ECEA9E8E69B74668FBDB2D2C8AB68	c-c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
ŏ	0496E7C99DC39C02DAD1416A83ECCA07	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	+	+	-	-		+	-	+		-
cçː	04A04ACA70FD8C0D79603AA9CFEB8ED4	c-c-d	consonant		-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-		-	+	-	-	-	-	-			-	-	-	-	-	-	-			-
ŋɡ̟	04B4FE9FC310B4DBEC2DC4602F0F7717	c-c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	+,-	+	-			-	+,-	-	-		-	-			-
ɡʲʷ	04B57782D5444893390CE435D797066A	c-d-d	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	+		-	-	-	-	-	+	-		+	-	-	-	-		-	-			-
ʛ̥	051F53069ABAEA0FBFD98E410052886C	c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	+	-	-	-			-	-	+	-		-	-			-
˦	0524CD95243C622D69973D187BC3F06F	t	tone																																				+	
ɡ̰ǀ͓x	052733F531304718D81781A169E11408	c-d-c-d-c	consonant		+	-	-	+	+	+	-	+	+	+	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
t̠͈ʃʷ	053C76BEF448ADAAFF121D3A2417DF5D	c-d-d-c-d	consonant		-	-		-	+	-	-	+	+	+	-	-	+			+		-	-		-	-	-	-		+	-	-	-	-	+	-	-			-
kǀʷ	054EB35E4B6A3BE775B05F68F9C6F941	c-c-d	consonant		+	-	-	+	+	-	-	+	-	+	+	-	-	-	+	+		-	-	-	-	-	-	-		+	-	-	-	-	-	-	-			-
ʃʲ	05AAE50FCBC4CE231B54BFDACEBCF7A6	c-d	consonant		-	-	+	-	+	-	+	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
mbv	06077C55C37AD5956AAE8DD54C91EBC5	c-c-c	consonant			-		-	+	-	-	-	+		-	-	-			+	+	-	-		-	+,-	+	-		-	-	+,-	-	-		-	-			-
e̥	06088A99AD4B6E006A6CFE7499104796	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	-	-	-		-	+	+	-		+	-	+		-
ʎʰ	0684B55D5BF0E0C939C0E371A9AB88A3	c-c	consonant		-	+	-	-	+	-	+	+		+	+	-	-	+	+	-		+	-	-	-	-	+	-			-	+	+	-	-	-	-			-
ŋ̥ǁ͓ˀ	0693EB9D36F0C224CA851279F4B8EDE9	c-d-c-d-c	consonant		+	-	-	+	+	+	-	+	+	-	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	-	-	-	-	-			-
ĩˠ	069938F0B556B63591FBED4E0ADDA4CA	v-c-d	vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
œ̃	06AD3EFFCE1EA6B31D8D6D91B820E116	v-c	vowel	-		+	-		-	-	+	-			+	-		+	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	-		-
tç	06DEE0795B053B8D24F01A75A243D540	c-c	consonant		+,-	-	-	-	+	-	-	+	-	-,+	-,+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
h̃	06EB82C91B0AA0D03E61911B66696245	c-c	consonant			-		-	-	-	+	-	+		-	-	-			-		-	-		-	+	-	-			-	-	+	-		-	-			-
ɛ̆	07053EEF8C93ACE683DD03977F6D1857	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		+	+	-	-		+	-	-		-
ʈʂʼ	07A5AC4B034CB0AB5D7EDE061466784F	c-c-c	consonant		-	-		-	+	+	-	+	+	-	-	-	-			-		-	-		-	-	-	+			-	-	-	-	+	-	-			-
ˀm̥	07E69C4DDFB53963509BCCFB5C71F43B	c-c-d	consonant			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	-	-		-	-	+	+	-		-	-			-
d͈ː	080B3E4FA5517B996B6B38F87C7412C0	c-d-d	consonant		+	-		-	+	-	-	+	-	-	-	-	+			-		-	+		-	-	+	-			-	-	-	-	-	-	-			-
χʷː	081ED2B8C741B916C74A62BEF6B60DD6	c-d-d	consonant			-	+	-	+	-	+	-	+		+	-	-	-	-	+		-	+	-	-	-	-	-		+	-	-	-	-		-	-			-
p̃	08433D6A748C7D78360050FA77D36C31	c-c	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	+	-	-		-	-	-	-	-		-	-			-
ʔ	0844E3AEAF1C8E3837465942B92FE4C5	c	consonant			-		-	+	+	-	-	-		-	-	-			-		-	-		-	-	-	-			-	-	-	-		-	-			-
rʰ	084BF48A663345EF3DF272BEB6AE09F3	c-c	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	+	-	-	-	-			+
ɟɦ	0852A73858AE2AEE692E34DEAE645CA8	c-c	consonant		-	-	-	-	+,-	-	-,+	+,-	-,+	+	+,-	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-,+	-	-	-	-			-
ɛ̃	0893FE8A6560A9B5DFA0A58647DB558E	v-c	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-		-
l̠˞	08A9EFEDDDDE024102936AE85730835B	c-d-d	consonant		+	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	+	-	-			-
oː	08F6CE9332919F91E699096D433AC8BB	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
kǀx	08FE09233E12E9B44CBB92DBD7AC43C0	c-c-c	consonant		+	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
χʷʼ	09669CA25538B9D8F88FA458EF40C634	c-d-c	consonant			-	+	-	+	+	+	-	+		+	-	-	-	-	+		-	-	-	-	-	-	+		+	-	-	-	-		-	-			-
qχʷˤʼ	09874C4A0917FE9D1D010D64F3756F1A	c-c-d-c-c	consonant	-		-	+	-	+	+	-	-	+		+	-	-	-	-	+		-	-	-	-	-	-	+	+	+	-	-	-	-		-	-			-
ɪ̙	099D8E6F547760792B21175ACEC20FFB	v-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	+		-	+	-	-		+	-	-		-
kʘʰ	09EDE8A77FEE22EEE5D267AE1713C17D	c-c-c	consonant			-	-	+	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	-	-		-	-	-	+	-		-	-			-
uɨ	0A021AF774926D33092A06E1E76880AA	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-	+	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ˀj̰	0A19110601295D70FE978364EC167FD5	c-c-d	consonant			+	-	-	-	+	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
ɨ̃ĩ	0A1CDEE911ED6F7B34E79D7A5BDCB0E9	v-c-v-c	vowel	-		+	-		-	-	+	-			+	-		-,+	+	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
ɣ̰	0A492CAA547F08D41B3A20740E609ED5	c-d	consonant			-	-	-	+	+	+	-	+		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
nː	0A6EAA5C52B5FA8BF685047F7CE47780	c-d	consonant		+	-		-	+	-	-	+		-	-	-	-			-		-	+		-	+	+	-			-	+	-	-	-	-	-			-
ɲ̥	0A91CF68DC2F5F5D919483CFE48E6EA0	c-d	consonant		-	-	-	-	+	-	-	+		+	+	-	-	+	+	-		-	-	-	-	+	-	-			-	+	+	-	-	-	-			-
ɡ̟	0B630EEB75923BB810F0A0B1953BC8D4	c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ˀb͉	0B75F9D5F4C87C662489B8E6ABFD48A0	c-c-d	consonant			-		-	+	+	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
i͓	0B8570C9CCF3EB3393856D9632A14088	v-d	vowel	-		-	-		+	-	+	-	+		+	-		+	+	-		-	-	-	-	-	+	-	-		-	-	-	-		+	-	+		-
sʲʷ	0BA016BC33CC522C0CCF3F2A19098D09	c-d-d	consonant		+	-	+	-	+	-	+	+	+	-	+	-	-	+	+	+		-	-	-	-	-	-	-		+	-	-	-	-	+	-	-			-
kʘʼ	0BE56512CDC5133CCA36FDCAD67202C6	c-c-c	consonant			-	-	+	+	+	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	-	+		-	-	-	-	-		-	-			-
pfʰ	0BFC682C9C33823CF6790B9465CA494C	c-c-c	consonant			-		-	+	-	-	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	+	-		-	-			-
kʷʰ	0C09EF7DD3A046DCF26731D2541C461C	c-d-c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	-	-	-		+	-	-	+	-		-	-			-
ʈʂ	0C125CB557D530881A8F1E46A3EB6F0C	c-c	consonant		-	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
fʼ	0C22248269ACD60E1AD1F2639D5A6626	c-c	consonant			-		-	+	+	+	-	+		-	-	-			+	+	-	-		-	-	-	+		-	-	-	-	-		-	-			-
ɮ̪	0C2FE17EE7F67E1E60E10900676E278A	c-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		+	-		-	-	+	-			-	-	-	-	-	-	-			-
n̻ː	0C63B54AF735B2DEE3ED60ECB98BDC30	c-d-d	consonant		+	-		-	+	-	-	+		+	-	-	-			-		-	+		-	+	+	-			-	+	-	-	-	-	-			-
qʷ	0CE464BCDDF6D25FC3C1DF3C67CE1C91	c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	-	-	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
ɢǁ	0CFA1DA80AB51C2325AFE15418715B49	c-c	consonant		+	-	+	+	+	-	-	+	-	-	+	-	-	-	-	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ɟʰ	0D4B664697F5425E23258E8F4C94AD7B	c-c	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	+	-	-	-	-			-
lˠ	0D5532C7D78A47723C3DCBA529FD22B6	c-d	consonant		+	+	+	-	+	-	+	+		-	+	-	-	-	+	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
ɣ̤	0D93D3EF6B78326ECFB9C67CF80CFBD8	c-d	consonant			-	-	-	+	-	+	-	+		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	+	-		-	-			-
qχʷ	0D9FD173012C61DF0ABA4BB4F4E846C0	c-c-d	consonant			-	+	-	+	-	-	-	+		+	-	-	-	-	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
œː	0DE9FF71A937AC65944BCB74B0AEC0FC	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
