m	m 
u2	u˧˥ 
wo2	w ɔ˧˥ 
uo2	w o˧˥ 
wa2	w a˧˥ 
ua2	w a˧˥ 
wei2	w ei˧˥ 
ui2	w ei˧˥ 
wai2	w ai˧˥ 
uai2	w ai˧˥ 
wen2	w ə˧˥ n
un2	w ə˧˥ n
wan2	w a˧˥ n
uan2	w a˧˥ n
weng2	w ə˧˥ ŋ
wang2	w a˧˥ ŋ
uang2	w a˧˥ ŋ
yu2	y˧˥ 
ü2	y˧˥ 
yue2	ɥe˧˥ 
üe2	ɥe˧˥ 
yun2	y˧˥ n
ün2	y˧˥ n
yuan2	ɥ ɛ˧˥ n
üan2	ɥ ɛ˧˥ n
er2	a ɚ˧˥ 
zi2	ts ɨ˧˥ 
ci2	tsʰ ɨ˧˥ 
si2	s ɨ˧˥ 
zhi2	ʈʂ ɯ˧˥ 
chi2	ʈʂʰ ɯ˧˥ 
shi2	ʂ ɯ˧˥ 
ri2	ʐ ɯ˧˥ 
ng2	ŋ˧˥ 
n2	n˧˥ 
ǐ	ɨ˨˩˦ 
ě	ɤ˨˩˦ 
hě	x ɤ˨˩˦ 
ǎ	a˨˩˦ 
ěi	ei˨˩˦ 
ǎi	ai˨˩˦ 
ǒu	ou˨˩˦ 
ǎo	au˨˩˦ 
ěn	ə˨˩˦ n
ǎn	a˨˩˦ n
ǒng	ʊ˨˩˦ ŋ
ěng	ə˨˩˦ ŋ
ǎng	ɑ˨˩˦ ŋ
yǐ	i˨˩˦ 
yě	j e˨˩˦ 
yǎ	j a˨˩˦ 
iǎ	j a˨˩˦ 
yǒu	j ou˨˩˦ 
iǔ	j ou˨˩˦ 
yǎo	j au˨˩˦ 
iǎo	j au˨˩˦ 
yǐn	i˨˩˦ n
ǐn	i˨˩˦ n
yǎn	j ɛ˨˩˦ n
iǎn	j ɛ˨˩˦ n
yǒng	j ʊ˨˩˦ ŋ
iǒng	j ʊ˨˩˦ ŋ
yǐng	i˨˩˦ ŋ
ǐng	i˨˩˦ ŋ
yǎng	j a˨˩˦ ŋ
iǎng	j a˨˩˦ ŋ
wǔ	u˨˩˦ 
ǔ	u˨˩˦ 
wǒ	w ɔ˨˩˦ 
uǒ	w o˨˩˦ 
wǎ	w a˨˩˦ 
uǎ	w a˨˩˦ 
wěi	w ei˨˩˦ 
uǐ	w ei˨˩˦ 
wǎi	w ai˨˩˦ 
uǎi	w ai˨˩˦ 
wěn	w ə˨˩˦ n
ǔn	w ə˨˩˦ n
wǎn	w a˨˩˦ n
uǎn	w a˨˩˦ n
wěng	w ə˨˩˦ ŋ
wǎng	w a˨˩˦ ŋ
uǎng	w a˨˩˦ ŋ
yǔ	y˨˩˦ 
ǚ	y˨˩˦ 
yuě	ɥe˨˩˦ 
üě	ɥe˨˩˦ 
yǔn	y˨˩˦ n
ǚn	y˨˩˦ n
yuǎn	ɥ ɛ˨˩˦ n
üǎn	ɥ ɛ˨˩˦ n
ěr	a ɚ˨˩˦ 
zǐ	ts ɨ˨˩˦ 
cǐ	tsʰ ɨ˨˩˦ 
sǐ	s ɨ˨˩˦ 
zhǐ	ʈʂ ɯ˨˩˦ 
chǐ	ʈʂʰ ɯ˨˩˦ 
shǐ	ʂ ɯ˨˩˦ 
rǐ	ʐ ɯ˨˩˦ 
ňg	ŋ˨˩˦ 
ň	n˨˩˦ 
i3	ɨ˨˩˦ 
e3	ɤ˨˩˦ 
he3	x ɤ˨˩˦ 
a3	a˨˩˦ 
ei3	ei˨˩˦ 
ai3	ai˨˩˦ 
ou3	ou˨˩˦ 
ao3	au˨˩˦ 
en3	ə˨˩˦ n
an3	a˨˩˦ n
ong3	ʊ˨˩˦ ŋ
eng3	ə˨˩˦ ŋ
ang3	ɑ˨˩˦ ŋ
yi3	i˨˩˦ 
ye3	j e˨˩˦ 
ya3	j a˨˩˦ 
ia3	j a˨˩˦ 
you3	j ou˨˩˦ 
iu3	j ou˨˩˦ 
yao3	j au˨˩˦ 
iao3	j au˨˩˦ 
yin3	i˨˩˦ n
in3	i˨˩˦ n
yan3	j ɛ˨˩˦ n
ian3	j ɛ˨˩˦ n
yong3	j ʊ˨˩˦ ŋ
iong3	j ʊ˨˩˦ ŋ
ying3	i˨˩˦ ŋ
ing3	i˨˩˦ ŋ
yang3	j a˨˩˦ ŋ
iang3	j a˨˩˦ ŋ
wu3	u˨˩˦ 
u3	u˨˩˦ 
wo3	w ɔ˨˩˦ 
uo3	w o˨˩˦ 
wa3	w a˨˩˦ 
ua3	w a˨˩˦ 
wei3	w ei˨˩˦ 
ui3	w ei˨˩˦ 
wai3	w ai˨˩˦ 
uai3	w ai˨˩˦ 
wen3	w ə˨˩˦ n
un3	w ə˨˩˦ n
