Language,ISO 639-3,ISO 639-1,Segments -,(Source),Orthography -,(Source),Pronlex -,(Source),SBS Texts -,(Source),Swadesh Texts -,(Source),Wikitexts -,(Source)
Czech,ces,cs,Czech/Czech_segments.html,http://phoible.org/languages/ces,Czech/Czech_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Czech_language,,,sbs-pages/20150418/czech.txt,http://www.sbs.com.au/yourlanguage/czech/,Czech/Czech_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Czech_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/cs/,http://cs.wikipedia.org
Danish,dan,da,Danish/Danish_segments.html,http://phoible.org/languages/dan,Danish/Danish_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Danish_language,,,sbs-pages/20150418/danish.txt,http://www.sbs.com.au/yourlanguage/danish/,Danish/Danish_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Danish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/da/,http://da.wikipedia.org
Dari,prs,fa,Dari/Dari_segments.html,http://phoible.org/languages/prs,Dari/Dari_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Dari_language,,,sbs-pages/20150418/dari.txt,http://www.sbs.com.au/yourlanguage/dari/,Dari/Dari_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists_(extended),http://ifp-08.ifp.uiuc.edu/public/wikipedia/fa/,http://fa.wikipedia.org
Dinka,din,,Dinka/Dinka_segments.html,http://phoible.org/languages/din,Dinka/Dinka_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Dinka_language,,,sbs-pages/20150418/dinka.txt,http://www.sbs.com.au/yourlanguage/dinka/,,,,
Dutch,nld,nl,Dutch/Dutch_segments.html,http://phoible.org/languages/nld,Dutch/Dutch_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Dutch_language,,,sbs-pages/20150418/dutch.txt,http://www.sbs.com.au/yourlanguage/dutch/,Dutch/Dutch_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Dutch_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/nl/,http://nl.wikipedia.org
Egyptian Arabic,arz,,Egyptian-Arabic/Egyptian-Arabic_segments.html,http://phoible.org/languages/arz,Egyptian-Arabic/Egyptian-Arabic_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Egyptian_Arabic,,,,,Egyptian-Arabic/Egyptian-Arabic_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Egyptian_Arabic_Swadesh_list,,
English,eng,en,English/English_segments.html,http://phoible.org/languages/eng,islex/index.shtml,http://en.wikipedia.org/wiki/English_language,English/ISLEdict.txt,http://www.speech.cs.cmu.edu/cgi-bin/cmudict,,,English/English_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Germanic_languages,,
Estonian,est,et,Estonian/Estonian_segments.html,http://phoible.org/languages/est,Estonian/Estonian_segments.html,http://en.wikipedia.org/wiki/Estonian_language,,,sbs-pages/20150418/estonian.txt,http://www.sbs.com.au/yourlanguage/estonian/,Estonian/Estonian_swadesh_list.txt,Estonian/Estonian_ref_orthography_fst.txt,http://ifp-08.ifp.uiuc.edu/public/wikipedia/et/,http://et.wikipedia.org
Fijian,fij,fj,Fijian/Fijian_segments.html,http://phoible.org/languages/fij,Fijian/Fijian_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Fijian_language,,,sbs-pages/20150418/fijian.txt,http://www.sbs.com.au/yourlanguage/fijian/,Fijian/Fijian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Fijian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/fj/,http://fj.wikipedia.org
Filipino,fil,tl,Filipino/Filipino_segments.html,http://phoible.org/languages/fil,Filipino/Filipino_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Filipino_language,,,sbs-pages/20150418/filipino.txt,http://www.sbs.com.au/yourlanguage/filipino?language=fil,Filipino/Filipino_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Tagalog_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/tl/,http://tl.wikipedia.org
Finnish,fin,fi,Finnish/Finnish_segments.html,http://phoible.org/languages/fin,Finnish/Finnish_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Finnish_language,,,sbs-pages/20150418/finnish.txt,http://www.sbs.com.au/yourlanguage/finnish/,Finnish/Finnish_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Uralic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/fi/,http://fi.wikipedia.org
French,fra,fr,French/French_segments.html,http://phoible.org/languages/fra,French/French_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/French_language,,,sbs-pages/20150418/french.txt,http://www.sbs.com.au/yourlanguage/french/,French/French_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:French_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/fr/,http://fr.wikipedia.org
Fula,fuh,,Fulfulde/Fulfulde_segments.html,http://phoible.org/languages/fuh,,http://phoible.org/languages/fuh,,,,,,,,
German,deu,de,German/German_segments.html,http://phoible.org/languages/deu,German/German_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/German_language,,,sbs-pages/20150418/german.txt,http://www.sbs.com.au/yourlanguage/german/,German/German_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:German_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/de/,http://de.wikipedia.org
Greek,ell,el,Greek/Greek_segments.html,http://phoible.org/languages/ell,Greek/Greek_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Greek_language,,,sbs-pages/20150418/greek.txt,http://www.sbs.com.au/yourlanguage/greek?language=el,Greek/Greek_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Greek_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/el/,http://el.wikipedia.org
Guarani,gnw,,Guarani/Guarani_segments.html,http://phoible.org/languages/gnw,,http://en.wikipedia.org/wiki/Guarani_language,,,,,,,,
Gujarati,guj,gu,Gujarati/Gujarati_segments.html,http://phoible.org/languages/guj,Gujarati/Gujarati_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Gujarati_language,,,sbs-pages/20150418/gujarati.txt,http://www.sbs.com.au/yourlanguage/gujarati?language=gu,Gujarati/Gujarati_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists_(extended),http://ifp-08.ifp.uiuc.edu/public/wikipedia/gu/,http://gu.wikipedia.org
Hausa,hau,,Hausa/Hausa_segments.html,http://phoible.org/languages/hau,,http://en.wikipedia.org/wiki/Hausa_language,,,,,,https://en.wiktionary.org/wiki/Appendix:Afro-Asiatic_Swadesh_lists,,
Hebrew,heb,he,Hebrew/Hebrew_segments.html,http://phoible.org/languages/heb,Hebrew/Hebrew_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Hebrew_language,,,sbs-pages/20150418/hebrew.txt,http://www.sbs.com.au/yourlanguage/hebrew/,Hebrew/Hebrew_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/he/,http://he.wikipedia.org
Hindi,hin,hi,Hindi/Hindi_segments.html,http://phoible.org/languages/hin,Hindi/Hindi_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Hindi_language,,,sbs-pages/20150418/hindi.txt,http://www.sbs.com.au/yourlanguage/hindi?language=hi,Hindi/Hindi_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Hindi_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/hi/,http://hi.wikipedia.org
Hmong,mww,,Hmong/Hmong_segments.html,http://phoible.org/languages/mww,Hmong/Hmong_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Hmong_Daw,,,sbs-pages/20150418/hmong.txt,http://www.sbs.com.au/yourlanguage/hmong/,Hmong/Hmong_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:White_Hmong_Swadesh_list,,
Hungarian,hun,hu,Hungarian/Hungarian_segments.html,http://phoible.org/languages/hun,Hungarian/Hungarian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Hungarian_language,,,sbs-pages/20150418/hungarian.txt,http://www.sbs.com.au/yourlanguage/hungarian/,Hungarian/Hungarian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Hungarian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/hu/,http://hu.wikipedia.org
Indonesian,ind,id,Indonesian/Indonesian_segments.html,http://phoible.org/languages/ind,Indonesian/Indonesian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Indonesian_language,,,sbs-pages/20150418/indonesian.txt,http://www.sbs.com.au/yourlanguage/indonesian?language=id,Indonesian/Indonesian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Indonesian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/id/,http://id.wikipedia.org
Italian,ita,it,Italian/Italian_segments.html,http://phoible.org/languages/ita,Italian/Italian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Italian_language,,,sbs-pages/20150418/italian.txt,http://www.sbs.com.au/yourlanguage/italian?language=it,Italian/Italian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Italian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/it/,http://it.wikipedia.org
