Language,ISO 639-3,ISO 639-1,Segments -,(Source),Orthography -,(Source),Pronlex -,(Source),SBS Texts -,(Source),Swadesh Texts -,(Source),Wikitexts -,(Source)
Samoan,smo,sm,Samoan/Samoan_segments.html,http://phoible.org/languages/smo,Samoan/Samoan_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Samoan_language,,,sbs-pages/20150418/samoan.txt,http://www.sbs.com.au/yourlanguage/samoan?language=sm,,,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sm/,http://sm.wikipedia.org
Serbian,srp,sr,Serbian/Serbian_segments.html,http://phoible.org/languages/srp,Serbian/Serbian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Serbian_language,,,sbs-pages/20150418/serbian.txt,http://www.sbs.com.au/yourlanguage/serbian/,Serbian/Serbian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Serbo-Croatian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sr/,http://sr.wikipedia.org
Shona,sna,,Shona/Shona_segments.html,http://phoible.org/languages/sna,,http://en.wikipedia.org/wiki/Shona_language,,,,,,,,
Sinhala,sin,si,Sinhalese/Sinhalese_segments.html,http://phoible.org/languages/sin,Sinhalese/Sinhalese_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Sinhala_language,,,sbs-pages/20150418/sinhalese.txt,http://www.sbs.com.au/yourlanguage/sinhalese?language=si,Sinhalese/Sinhalese_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Sinhalese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/si/,http://si.wikipedia.org
Slovak,slk,sk,Slovak/Slovak_segments.html,http://phoible.org/languages/slk,Slovak/Slovak_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Slovak_language,,,sbs-pages/20150418/slovak.txt,http://www.sbs.com.au/yourlanguage/slovak/,Slovak/Slovak_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Slovak_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sk/,http://sk.wikipedia.org
Slovene,slv,sl,Slovenian/Slovenian_segments.html,http://phoible.org/languages/slv,Slovenian/Slovenian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Slovene_language,,,sbs-pages/20150418/slovenian.txt,http://www.sbs.com.au/yourlanguage/slovenian/,Slovenian/Slovenian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Slovene_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sl/,http://sl.wikipedia.org
Somali,som,so,Somali/Somali_segments.html,http://phoible.org/languages/som,Somali/Somali_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Somali_language,,,sbs-pages/20150418/somali.txt,http://www.sbs.com.au/yourlanguage/somali/,Somali/Somali_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/so/,http://so.wikipedia.org
Spanish,spa,es,Spanish/Spanish_segments.html,http://phoible.org/languages/spa,Spanish/Spanish_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Spanish_language,,,sbs-pages/20150418/spanish.txt,http://www.sbs.com.au/yourlanguage/spanish/,Spanish/Spanish_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Spanish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/es/,http://es.wikipedia.org
Swahili,swh,sw,Swahili/Swahili_segments.html,http://phoible.org/languages/swh,Swahili/Swahili_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Swahili_language,,,sbs-pages/20150418/swahili.txt,http://www.sbs.com.au/yourlanguage/swahili/,Swahili/Swahili_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swahili_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sw/,http://sw.wikipedia.org
Swedish,swe,sv,Swedish/Swedish_segments.html,http://phoible.org/languages/swe,Swedish/Swedish_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Swedish_language,,,sbs-pages/20150418/swedish.txt,http://www.sbs.com.au/yourlanguage/swedish/,Swedish/Swedish_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swedish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sv/,http://sv.wikipedia.org
Tagalog,tgl,tl,Tagalog/Tagalog_segments.html,http://phoible.org/languages/tgl,Filipino/Filipino_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Tagalog_language,,,sbs-pages/20150418/filipino.txt,http://www.sbs.com.au/yourlanguage/filipino?language=fil,Filipino/Filipino_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Tagalog_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/tl/,http://tl.wikipedia.org
Tamil,tam,ta,Tamil/Tamil_segments.html,http://phoible.org/languages/tam,Tamil/Tamil_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Tamil_language,,,sbs-pages/20150418/tamil.txt,http://www.sbs.com.au/yourlanguage/tamil?language=ta,Tamil/Tamil_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Dravidian_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ta/,http://ta.wikipedia.org
Thai,tha,th,Thai/Thai_segments.html,http://phoible.org/languages/tha,,http://en.wikipedia.org/wiki/Thai_language,,,sbs-pages/20150418/thai.txt,http://www.sbs.com.au/yourlanguage/thai/,Thai/Thai_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Thai_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/th/,http://th.wikipedia.org
Tigrinya,tir,ti,Tigrinya/Tigrinya_segments.html,http://phoible.org/languages/tir,Tigrinya/Tigrinya_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Tigrinya_language,,,sbs-pages/20150418/tigrinya.txt,http://www.sbs.com.au/yourlanguage/tigrinya/,Tigrinya/Tigrinya_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ti/,http://ti.wikipedia.org
Tongan,ton,to,Tongan/Tongan_segments.html,http://phoible.org/languages/ton,Tongan/Tongan_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Tongan_language,,,sbs-pages/20150418/tongan.txt,http://www.sbs.com.au/yourlanguage/tongan/,,,http://ifp-08.ifp.uiuc.edu/public/wikipedia/to/,http://to.wikipedia.org
Turkish,tur,tr,Turkish/Turkish_segments.html,http://phoible.org/languages/tur,Turkish/Turkish_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Turkish_language,,,sbs-pages/20150418/turkish.txt,http://www.sbs.com.au/yourlanguage/turkish/,Turkish/Turkish_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Turkish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/tr/,http://tr.wikipedia.org
Turkmen,tuk,tk,Turkmen/Turkmen_segments.html,http://phoible.org/languages/tuk,Turkmen/Turkmen_Turkish_orthography_dict.txt;Turkmen/Turkmen_Cyrillic_orthography_dict.txt,https://en.wikipedia.org/wiki/Turkmen_alphabet,,,,,,,,http://tk.wikipedia.org
Ukrainian,ukr,uk,Ukrainian/Ukrainian_segments.html,http://phoible.org/languages/ukr,Ukrainian/Ukrainian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Ukrainian_language,,,sbs-pages/20150418/ukrainian.txt,http://www.sbs.com.au/yourlanguage/ukrainian/,Ukrainian/Ukrainian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Ukrainian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/uk/,http://uk.wikipedia.org
Urdu,urd,ur,Urdu/Urdu_segments.html,http://phoible.org/languages/urd,Urdu/Urdu_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Urdu_language,,,sbs-pages/20150418/urdu.txt,http://www.sbs.com.au/yourlanguage/urdu?language=ur,Urdu/Urdu_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists_(extended),http://ifp-08.ifp.uiuc.edu/public/wikipedia/ur/,http://ur.wikipedia.org
Uyghur,uig,ug,Uyghur/Uyghur_segments.html,http://phoible.org/languages/uig,Uyghur/Uyghur_Arabic_orthography_dict.txt;Uyghur/Uyghur_Latin_orthography_dict.txt;Uyghur/Uyghur_Cyrillic_orthography_dict.txt,http://en.wikipedia.org/wiki/Uyghur_language,,,,,,,,http://ug.wikipedia.org
Uzbek,uzb,uz,Uzbek/Uzbek_segments.html,http://phoible.org/languages/uzb,Uzbek/Uzbek_Latin_orthography_dict.txt;Uzbek/Uzbek_Cyrillic_orthography_dict.txt,http://en.wikipedia.org/wiki/Uzbek_language,,,,,,,,http://uz.wikipedia.org
Vietnamese,vie,vi,Vietnamese/Vietnamese_segments.html,http://phoible.org/languages/vie,Vietnamese/Vietnamese_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Vietnamese_language,,,sbs-pages/20150418/vietnamese.txt,http://www.sbs.com.au/yourlanguage/vietnamese?language=vi,Vietnamese/Vietnamese_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Vietnamese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/vi/,http://vi.wikipedia.org
Wolof,wol,wo,Wolof/Wolof_segments.html,http://phoible.org/languages/wol,Wolof/Wolof_orthography_dict.txt,http://en.wikipedia.org/wiki/Wolof_language,,,,,,,,http://wo.wikipedia.org
Yoruba,yor,yo,Yoruba/Yoruba_segments.html,http://phoible.org/languages/yor,Yoruba/Yoruba_orthography_dict.txt,http://en.wikipedia.org/wiki/Yoruba_language,,,,,,,,http://yo.wikipedia.org
Zulu,zul,zu,Zulu/Zulu_segments.html,http://phoible.org/languages/zul,,http://en.wikipedia.org/wiki/Zulu_language,,,,,,,,http://zu.wikipedia.org
