Manner,Place,click,sonorant,continuant,tap,trill,lateral,strident
ʘ,Lips,+
ǃ̠,Tip,+
ʔ,Glottis,-,-,-
p,Lips,-,-,-
t,Tip,-,-,-
k,Body,-,-,-
h,Glottis,-,-,+
f,Lips,-,-,+
s,Tip,-,-,+,-,-,-,+
θ,Tip,-,-,+,-,-,-,-
ɬ,Tip,-,-,+,-,-,+
x,Body,-,-,+,-,-,-
ʕ,Root,-,-,+
m,Lips,-,+,-
n,Tip,-,+,-
ŋ,Body,-,+,-
ʋ Lips
ⱱ Lips
ʙ Lips
w,Lips,-,+,+,-,-
ɻ,Tip,-,+,+,-,-,-
ɾ,Tip,-,+,+,+,-
r,Tip,-,+,+,-,+
l,Tip,-,+,+,-,-,+
j,Body,-,+,+,-,-,-
ʀ,Body,-,+,+,-,+
ʎ,Body,-,+,+,-,-,+
