"Tamil","http://phoible.org/languages/tam",tam,"Tamil/Tamil_segments.html"
"Thai","http://phoible.org/languages/tha",tha,"Thai/Thai_segments.html"
"Tigrinya","http://phoible.org/languages/tir",tir,"Tigrinya/Tigrinya_segments.html"
"Tongan","http://phoible.org/languages/ton",ton,"Tongan/Tongan_segments.html"
"Turkish","http://phoible.org/languages/tur",tur,"Turkish/Turkish_segments.html"
"Turkmen",,tuk,"Turkmen/Turkmen_segments.html"
"Ukrainian","http://phoible.org/languages/ukr",ukr,"Ukrainian/Ukrainian_segments.html"
"Urdu","http://phoible.org/languages/urd",urd,"Urdu/Urdu_segments.html"
"Uyghur",,uig,"Uyghur/Uyghur_segments.html"
"Uzbek",,uzb,"Uzbek/Uzbek_segments.html"
"Vietnamese","http://phoible.org/languages/vie",vie,"Vietnamese/Vietnamese_segments.html"
"Wolof","http://phoible.org/languages/wol",wol,"Wolof/Wolof_segments.html"
"Yoruba","http://phoible.org/languages/yor",yor,"Yoruba/Yoruba_segments.html"
"Zulu","http://phoible.org/languages/zul",zul,"Zulu/Zulu_segments.html"

