IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
aː	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	+	+	-	-	+	-	-		-	+	-	-		+	-			-
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
d̪	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
e	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
eː	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
h	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	-	-			-	-	+	-		-	-			-
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
iː	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
l	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
n̪	n	Tip		+	-		-	+	-	-	+		+	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
o	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
oː	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
s	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t̪	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
u	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
uː	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
w	w	Lips			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
ŋ	ŋ	Body			-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	+	-			-	+	-	-		-	-			-
ɡ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ɾ	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	+			-
ʔ	ʔ	Guttural			-		-	+	+	-	-	-		-	-	-			-		-	-		-	-	-	-			-	-	-	-		-	-			-
