IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill	˦	˦˨	˧˦	˧˨˧
uei˦˨	əu	Vowel	-		+	+,-,-		-	-	+	-			+	-		-,+,+	+,-,+	+,-,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+		
uei˧˦	əu	Vowel	-		+	+,-,-		-	-	+	-			+	-		-,+,+	+,-,+	+,-,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+	
uei˧˨˧	əu	Vowel	-		+	+,-,-		-	-	+	-			+	-		-,+,+	+,-,+	+,-,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-				+
uo	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-				
uo˦	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-	+			
uo˦˨	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+		
uo˧˦	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+	
uo˧˨˧	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-				+
uə	uə	Vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-		-				
uə˦	uə	Vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-	+	-	+			
uə˦˨	uə	Vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-	+	-		+		
uə˧˦	uə	Vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-	+	-			+	
uə˧˨˧	uə	Vowel	-		+	+,-		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-	+	-				+
u˦	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-	+			
u˦˨	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+		
u˧˦	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+	
u˧˨˧	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-				+
w	w	Lips			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-				
x	ç	Body			-	-	-	+	-	+	-	+		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-				
y	y	Vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-				
ye	e	Vowel	-		+	-		-	-	+	-			+	-		+	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-				
ye˦	e	Vowel	-		+	-		-	-	+	-			+	-		+	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-	+			
ye˦˨	e	Vowel	-		+	-		-	-	+	-			+	-		+	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+		
ye˧˦	e	Vowel	-		+	-		-	-	+	-			+	-		+	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+	
ye˧˨˧	e	Vowel	-		+	-		-	-	+	-			+	-		+	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-				+
y˦	y	Vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-	+			
y˦˨	y	Vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+		
y˧˦	y	Vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+	
y˧˨˧	y	Vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-				+
ŋ	ŋ	Body			-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	+	-			-	+	-	-		-	-			-				
ɕ	s	Tip		+	-	-	-	+	-	+	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-				
ə	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-				
ə˦	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-	+			
ə˦˨	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-		+		
ə˧˦	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-			+	
ə˧˨˧	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-				+
ɤ	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-				
ɤ˦	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-	+			
ɤ˦˨	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-		+		
ɤ˧˦	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-			+	
ɤ˧˨˧	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-				+
ɹ	ɻ	Tip		-	+		-	-	-	+	+		+	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			-				
ʃ̺	s	Tip		-	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-				
