a	ɑ
b	b
bj	bʒ
bj	bj
ch	tʃʰ
d	d
e	ɪ
e	e
e	ɛ
f	f
fj	fʃ
fsh 	fʃ
h	h
hl	ɬ
i	i
j	ʒ
j	dʒ
k	kʼ
kh	kʰ
k’h	kʰ
kg	x
kg	kxʰ
l	l
m	m
'm	m
n	n
'n	n
ng	ŋ
'ng 	ŋ
ny	ɲ
'ny 	ɲ
o	ʊ
o	o
o	ɔ
p	pʼ
ph	pʰ
pj	pʃʼ
pjh	pʃʰ
psh 	pʃʰ
q	ǃ
qh	ǃʰ
nq	ᵑǃ
nǵ	ᵑǃ
r	ʀ
s	s
sh	ʃ
t	tʼ
th	tʰ
tj	tʃʼ
tjh	tʃʰ
tl	tɬʼ
tlh	tɬʰ
ts	tsʼ
tsh	tsʰ
tš	tsʰ
u	u
w	w
y	j

